epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
0,,0.4299986666263438,0.39562320562320563,0.6043613707165109,0.6296296296296297,0.1904865649963689,0.43373493975903615,0.33631409786386796,0.5879828326180258,0.32214526191620335,0.3586206896551724
1,0.0295824374864745,0.782651550548258,0.664041514041514,0.8598130841121495,0.7654320987654321,0.2510189341175256,0.6024096385542169,0.5860015405621832,0.7896995708154506,0.3991055054249909,0.4137931034482758
2,0.0132874158913882,0.9406246375502488,0.8080837218337219,0.9750778816199376,0.8271604938271605,0.265923257070798,0.5903614457831325,0.6218886379321161,0.8240343347639485,0.4706215724012333,0.4689655172413793
3,0.0071083944932968,0.9948459383753502,0.8039417989417988,0.9968847352024922,0.8148148148148148,0.2664095226637485,0.5542168674698795,0.6857784852132178,0.8283261802575107,0.4854511163112426,0.5172413793103449
4,0.0040791644468926,1.0,0.7948351648351648,1.0,0.8024691358024691,0.2933942237863806,0.5301204819277109,0.6924313372055129,0.8326180257510729,0.487570065836442,0.496551724137931
5,0.0028219605479331,1.0,0.8392126392126393,1.0,0.8395061728395061,0.3021302027049153,0.5662650602409639,0.7018637698637911,0.8412017167381974,0.4752151597975345,0.503448275862069
6,0.0020583603503645,1.0,0.8392126392126393,1.0,0.8395061728395061,0.306498338788971,0.5783132530120482,0.7040909955366689,0.8454935622317596,0.4786684992567346,0.5172413793103449
7,0.0019135665168742,0.9912571428571428,0.7745421245421245,0.9875389408099688,0.7777777777777778,0.3017636684303351,0.5180722891566265,0.6499658815230127,0.7424892703862661,0.4778337671100828,0.5517241379310345
8,0.0021970812509686,1.0,0.8362233962771597,1.0,0.8518518518518519,0.2604936360509116,0.5421686746987951,0.6612512158145363,0.8197424892703863,0.4654934335816688,0.5103448275862069
9,0.0013340600250687,1.0,0.8262401795735129,1.0,0.8395061728395061,0.2668493560946391,0.5542168674698795,0.7094445447091863,0.8412017167381974,0.4751318036801907,0.5241379310344828
10,0.0013469370976466,1.0,0.8346570277942827,1.0,0.8395061728395061,0.2855533896469568,0.5542168674698795,0.7293957464037328,0.8497854077253219,0.4581162862294937,0.5103448275862069
