epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
1,0.029582437486474558,0.782651550548258,0.664041514041514,0.8598130841121495,0.7654320987654321,0.2510189341175256,0.6024096385542169,0.5860015405621832,0.7896995708154506,0.3991055054249909,0.41379310344827586
2,0.013287415891388281,0.9406246375502487,0.8080837218337219,0.9750778816199377,0.8271604938271605,0.26592325707079806,0.5903614457831325,0.6218886379321161,0.8240343347639485,0.47062157240123337,0.4689655172413793
3,0.007108394380496896,0.9948459383753502,0.8039417989417988,0.9968847352024922,0.8148148148148148,0.2664095226637485,0.5542168674698795,0.6857784852132178,0.8283261802575107,0.4854511163112426,0.5172413793103449
4,0.004079163021708822,1.0,0.7948351648351648,1.0,0.8024691358024691,0.29339422378638064,0.5301204819277109,0.6924313372055129,0.8326180257510729,0.487570065836442,0.496551724137931
5,0.0028192554116075546,1.0,0.8392126392126393,1.0,0.8395061728395061,0.30213020270491536,0.5662650602409639,0.7018637698637911,0.8412017167381974,0.4638928561537079,0.496551724137931
6,0.002061284295433658,1.0,0.8392126392126393,1.0,0.8395061728395061,0.30649833878897104,0.5783132530120482,0.7009625428683932,0.8412017167381974,0.4644116449998802,0.503448275862069
7,0.0017930894673611067,0.9912571428571428,0.7745421245421245,0.9875389408099688,0.7777777777777778,0.29514062935115565,0.5060240963855421,0.6498532845683105,0.7424892703862661,0.4680222702829086,0.5448275862068965
8,0.002423169961204949,1.0,0.8362233962771597,1.0,0.8518518518518519,0.27397302780761423,0.5421686746987951,0.669551437055934,0.8154506437768241,0.47053212751488604,0.5172413793103449
9,0.0013215993820278912,1.0,0.8262401795735129,1.0,0.8395061728395061,0.2927530364372469,0.5783132530120482,0.6704487154446136,0.8240343347639485,0.4742118902602773,0.5241379310344828
10,0.0022990263529231785,0.9805347285324852,0.7588637252977565,0.9813084112149533,0.7901234567901234,0.2764266393805357,0.46987951807228917,0.6051123321078902,0.7553648068669528,0.45716571309374815,0.5172413793103449
