metric,mean,std,n_seeds,seeds
in_train_f1,0.98671419055658,0.01151517818182255,3,"42,43,44"
in_test_f1,0.80803267691755,0.04374328925473574,3,"42,43,44"
in_train_f1_micro,0.9927310488058151,0.010014175245060247,3,"42,43,44"
in_test_f1_micro,0.8271604938271605,0.0326635964328962,3,"42,43,44"
ood_ijh_f1,0.29106950235627865,0.013912898559159394,3,"42,43,44"
ood_ijh_f1_micro,0.5421686746987951,0.07900528342532534,3,"42,43,44"
ood_indian_f1,0.6682678361449109,0.059031610017069754,3,"42,43,44"
ood_indian_f1_micro,0.8082975679542203,0.048239528755614734,3,"42,43,44"
ood_ultra_f1,0.43714139065104,0.02084144155759716,3,"42,43,44"
ood_ultra_f1_micro,0.503448275862069,0.02389035596646732,3,"42,43,44"
