epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
0,,,0.35274583229796624,,0.5092250922509225,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.33631409786386796,0.5879828326180258,0.32214526191620335,0.3586206896551724
1,0.0214805776174365,0.8474625403410088,0.6884794900928867,0.8706536856745479,0.7675276752767528,0.3413604427371636,0.6626506024096386,0.6737403646322052,0.7530864197530864,0.7623371003165587,0.8540772532188842,0.5374102885578296,0.696551724137931
2,0.0110008677430373,0.9188194089797532,0.7482204567964191,0.9346314325452016,0.7915129151291513,0.4187400376254865,0.6506024096385542,0.85625,0.8518518518518519,0.7708421204730305,0.8755364806866953,0.5665056918820628,0.7034482758620689
3,0.0068038102191682,0.9590050465860268,0.7465916076379585,0.9694019471488178,0.7952029520295203,0.4097814717872577,0.6746987951807228,0.8266407203907203,0.8395061728395061,0.7760360192263149,0.8798283261802575,0.5880168446964114,0.7034482758620689
4,0.0046247488450773,0.9772259171188296,0.7166836332312075,0.9809921186833566,0.7841328413284133,0.4366402116402116,0.7228915662650602,0.791292735042735,0.8271604938271605,0.7259910043550234,0.8540772532188842,0.5817917847429555,0.6827586206896552
5,0.0054430419061159,0.7840989424697634,0.5575407852048264,0.7788595271210014,0.6033210332103321,0.4186575539083233,0.6867469879518072,0.5904216577419192,0.6049382716049383,0.5087760180593327,0.5665236051502146,0.495184515776621,0.6137931034482759
6,0.0108864292954955,0.9325745775953604,0.6844627388866594,0.933240611961057,0.7380073800738007,0.4930356193514089,0.6987951807228916,0.812277294454643,0.8271604938271605,0.7756743651548749,0.8025751072961373,0.49603662256982,0.6068965517241379
7,0.0044736865852828,0.9790936078716848,0.7306437248423522,0.9828465461288828,0.7822878228782287,0.4719995952236389,0.7590361445783133,0.6991086691086691,0.8024691358024691,0.7939814814814815,0.8497854077253219,0.5801575427076053,0.6758620689655173
8,0.0027732402142901,0.9874164895670616,0.7462954106145471,0.989800649049606,0.7970479704797048,0.4233933132640029,0.6987951807228916,0.8460736951785545,0.8641975308641975,0.8410627774624757,0.8755364806866953,0.5723189128533254,0.6896551724137931
9,0.0019378357733613,0.9817790598158238,0.7033612882359763,0.9833101529902644,0.7730627306273062,0.4786979903436983,0.7108433734939759,0.7840142720739736,0.8271604938271605,0.8170143514753534,0.8583690987124464,0.5137159507159508,0.6413793103448275
10,0.003190831286464,0.9842097472343122,0.736152736397007,0.9865554010199352,0.7896678966789668,0.413003663003663,0.6987951807228916,0.7720181053514387,0.8148148148148148,0.8713753278427872,0.8841201716738197,0.5622773577673742,0.6758620689655173
