epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
1,0.024528331154581088,0.796487539852345,0.6383599070504452,0.8539638386648123,0.7472324723247232,0.3096073517126149,0.6626506024096386,0.6905002405002405,0.7777777777777778,0.6270340397453811,0.8283261802575107,0.489751238544342,0.6482758620689655
2,0.012741096299858047,0.920398798782708,0.7180452104729069,0.9355586462679648,0.7878228782287823,0.4484057551643758,0.7228915662650602,0.7231620231620233,0.7777777777777778,0.787501665001665,0.8669527896995708,0.5899850001877568,0.7034482758620689
3,0.0075333733703946285,0.9483188009534136,0.723951916236293,0.9605934167825684,0.7785977859778598,0.4217081468602767,0.6385542168674698,0.7874235841789378,0.8024691358024691,0.8007894181455562,0.8540772532188842,0.6034858119586116,0.7241379310344828
4,0.005141739519837332,0.9683278353578275,0.7180837689778838,0.9749652294853964,0.7693726937269373,0.4542666108589029,0.7108433734939759,0.6704707530794488,0.7530864197530864,0.7706526561307081,0.8412017167381974,0.6008083583083583,0.696551724137931
5,0.0032848705448552474,0.983324742110043,0.7512590917713522,0.9884098284654613,0.7970479704797048,0.4301998610831037,0.6867469879518072,0.8566585266585266,0.8395061728395061,0.7960410713974934,0.8583690987124464,0.6353339395789247,0.7379310344827587
6,0.00247965730065126,0.9421148717911475,0.6753885904371804,0.9689383402874363,0.7675276752767528,0.3525588079212707,0.6867469879518072,0.7165131165131164,0.7777777777777778,0.6648745282376997,0.8240343347639485,0.6121098901098901,0.7172413793103448
7,0.00234469538448006,0.9835870299221344,0.7254638723764837,0.9870190078813167,0.7804428044280443,0.44100529100529096,0.6746987951807228,0.7920230601390021,0.8271604938271605,0.8197082606466048,0.8755364806866953,0.5606335821041704,0.6620689655172414
8,0.0019558811450439252,0.9654115845444972,0.6838967286758559,0.9740380157626333,0.7601476014760148,0.37663139329806,0.6144578313253012,0.6390405164914968,0.7654320987654321,0.8008339862369127,0.8454935622317596,0.6004466611819553,0.7034482758620689
9,0.004078403447916627,0.9686647890136113,0.7110838526904778,0.9754288363467779,0.7675276752767528,0.3761736793482825,0.6024096385542169,0.7721371266714405,0.7901234567901234,0.813286700423941,0.8497854077253219,0.6319247946145955,0.7172413793103448
10,0.0020514648418945404,0.9904409229698,0.7459502356216883,0.9939731108020399,0.7933579335793358,0.5338523758063987,0.7349397590361446,0.7870560811737284,0.8271604938271605,0.8717682922533954,0.8884120171673819,0.5482567686256539,0.6551724137931034
