metric,mean,std,n_seeds,seeds
in_train_f1,0.9875384361635016,0.004330561553240181,3,"42,43,44"
in_test_f1,0.7295025246850182,0.014392163903742969,3,"42,43,44"
in_train_f1_micro,0.9924277545974348,0.002286918341361305,3,"42,43,44"
in_test_f1_micro,0.7835178351783517,0.008719217022606295,3,"42,43,44"
ood_ijh_f1,0.42982143697143377,0.0918813413492408,3,"42,43,44"
ood_ijh_f1_micro,0.6947791164658635,0.036807836907275834,3,"42,43,44"
ood_asian_f1,0.8025830547001336,0.016638910433206793,3,"42,43,44"
ood_asian_f1_micro,0.8230452674897119,0.007127781101106522,3,"42,43,44"
ood_indian_f1,0.8310886312284143,0.037072199907868704,3,"42,43,44"
ood_indian_f1_micro,0.8712446351931331,0.017167381974248885,3,"42,43,44"
ood_ultra_f1,0.5739156930279514,0.023020871708145933,3,"42,43,44"
ood_ultra_f1_micro,0.671264367816092,0.02216931209423666,3,"42,43,44"
