epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
0,,0.2019610271196136,0.1904865649963689,0.5030120481927711,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.33631409786386796,0.5879828326180258,0.32214526191620335,0.3586206896551724
1,0.0304630929239498,0.1983228511530398,0.1748500881834215,0.6867469879518072,0.5903614457831325,0.0898030942334739,0.3580246913580246,0.1038899246262767,0.4592274678111588,0.064785373608903,0.2
2,0.0220255595912416,0.414219404970629,0.2044671150891676,0.8162650602409639,0.6024096385542169,0.233196159122085,0.4938271604938271,0.1949429381977704,0.51931330472103,0.1337272727272727,0.2689655172413793
3,0.0153480398437816,0.6184268542544007,0.3685050042109798,0.891566265060241,0.6987951807228916,0.3669197918267166,0.5308641975308642,0.233622928267679,0.5493562231759657,0.1449191761486843,0.2689655172413793
4,0.0103355381660253,0.7358885186168558,0.4034737272442191,0.9457831325301204,0.7108433734939759,0.3393273762167082,0.5308641975308642,0.2600761226529592,0.5107296137339056,0.2175681757037689,0.4137931034482758
5,0.0069393937360966,0.9077701879449938,0.4135762519522252,0.9789156626506024,0.7349397590361446,0.3711685482273717,0.5555555555555556,0.2847899214309212,0.575107296137339,0.1907047472717208,0.3517241379310344
6,0.0053337129234078,0.9602449616094728,0.4337647979439024,0.9879518072289156,0.6867469879518072,0.3829951108432121,0.5432098765432098,0.2436338651449866,0.5665236051502146,0.2262010993748789,0.3448275862068966
7,0.00365608988024,0.9859767891682784,0.4730603835081447,0.9969879518072288,0.7108433734939759,0.4554861278004753,0.5802469135802469,0.3189786924719458,0.6051502145922747,0.2183927194361323,0.3172413793103448
8,0.0035713988570889,0.9784328625067048,0.3792771855604108,0.993975903614458,0.7228915662650602,0.4489135611026158,0.6049382716049383,0.3357556198718669,0.5965665236051502,0.1971957671957672,0.3310344827586207
9,0.0021947368142105,0.9765973659483967,0.4112159849864768,0.993975903614458,0.7108433734939759,0.4156695156695157,0.5679012345679012,0.3650248682392559,0.6180257510729614,0.185018018018018,0.3241379310344827
10,0.0016094873542196,0.9149948175533956,0.3503903961482334,0.9879518072289156,0.7228915662650602,0.3517493778363343,0.5432098765432098,0.3221980347694633,0.6137339055793991,0.1676002715941607,0.296551724137931
