epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
1,0.02919316054490137,0.36528668951374266,0.23972602739726026,0.75,0.6385542168674698,0.1880162321338792,0.4691358024691358,0.18644667894065997,0.51931330472103,0.15327312027173073,0.2896551724137931
2,0.01852629534866526,0.5075593311421632,0.22287581699346404,0.8734939759036144,0.6265060240963856,0.24892037786774626,0.5185185185185185,0.2311082215377019,0.5665236051502146,0.12685051545881135,0.2689655172413793
3,0.011478700324421725,0.8158076658703278,0.40876276938568373,0.9548192771084337,0.7108433734939759,0.3295231084704769,0.5555555555555556,0.20190772653851502,0.49356223175965663,0.1444844373876632,0.2482758620689655
4,0.008818064842945391,0.7628280444013202,0.33744588744588744,0.9457831325301205,0.6987951807228916,0.34028032217709314,0.5432098765432098,0.2066299388561196,0.4592274678111588,0.18808354921227463,0.296551724137931
5,0.0066854075755901545,0.944320023836055,0.38756283234044353,0.9789156626506024,0.7469879518072289,0.31514041514041513,0.4567901234567901,0.22291620853593738,0.5064377682403434,0.1715032679738562,0.2689655172413793
6,0.005356304508813444,0.9805861560568674,0.28937289562289564,0.9909638554216867,0.6987951807228916,0.3244933629446757,0.43209876543209874,0.2067681506747438,0.47639484978540775,0.18007748973386414,0.3103448275862069
7,0.003350441921249885,0.9904191828679615,0.48153674184874606,0.9879518072289156,0.7349397590361446,0.35615248948582284,0.4567901234567901,0.2033271023511014,0.51931330472103,0.17774472672704972,0.296551724137931
8,0.0022885834707749493,0.982581525609507,0.44918767507002794,0.9909638554216867,0.6867469879518072,0.35369354596858843,0.4444444444444444,0.24779636108137543,0.44206008583690987,0.1574584050487665,0.2689655172413793
9,0.0022007515380461982,0.9857538647792885,0.4483553748786724,0.9939759036144579,0.6987951807228916,0.3580025562481703,0.48148148148148145,0.27515605309722957,0.5107296137339056,0.19879093337739953,0.30344827586206896
10,0.002286471133344773,1.0,0.35576823321921364,1.0,0.6867469879518072,0.3967871485943775,0.6049382716049383,0.28524794792596386,0.5793991416309013,0.16832971438641542,0.27586206896551724
