metric,mean,std,n_seeds,seeds
in_train_f1,0.9978374030138327,0.00187372791981269,3,"42,43,44"
in_test_f1,0.4253833806106689,0.060873569986061506,3,"42,43,44"
in_train_f1_micro,0.9979919678714859,0.001739006834908597,3,"42,43,44"
in_test_f1_micro,0.6987951807228915,0.02086808201890214,3,"42,43,44"
ood_asian_f1,0.416732763609683,0.029127673058022004,3,"42,43,44"
ood_asian_f1_micro,0.5925925925925926,0.012345679012345678,3,"42,43,44"
ood_indian_f1,0.3054445579240573,0.023850350859504352,3,"42,43,44"
ood_indian_f1_micro,0.5822603719599427,0.02160181526543847,3,"42,43,44"
ood_ultra_f1,0.17763689653184786,0.011646931588063607,3,"42,43,44"
ood_ultra_f1_micro,0.28735632183908044,0.010534656770013452,3,"42,43,44"
