epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
0,,0.38469280213377316,0.33631409786386796,0.6088362068965517,0.5879828326180258,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.32214526191620335,0.3586206896551724
1,0.0209312949059651,0.89398557072292,0.6864817139561301,0.9396551724137931,0.8283261802575107,0.3306268185366546,0.5903614457831325,0.6865507299717826,0.7407407407407407,0.2973539151800021,0.3172413793103448
2,0.0076730241943833,0.9781431890950688,0.73564587796683,0.990301724137931,0.8669527896995708,0.3198798580874052,0.5421686746987951,0.6618847202180536,0.7283950617283951,0.3730719566474715,0.3931034482758621
3,0.0036382031221051,0.9926675828704852,0.7234603301925788,0.9946120689655172,0.8454935622317596,0.2887471203260677,0.4939759036144578,0.679340412673746,0.7530864197530864,0.4300035214618825,0.4482758620689655
4,0.00279680225955,0.9910376528916004,0.7099357632826193,0.992456896551724,0.8454935622317596,0.3282349125261002,0.5542168674698795,0.6583052410376888,0.7037037037037037,0.3285308701862183,0.3448275862068966
5,0.0022000039754292,0.9972363843098436,0.7421370010159247,0.9978448275862069,0.8497854077253219,0.3402222132872288,0.5662650602409639,0.6989631409921265,0.7654320987654321,0.4244785507691059,0.4413793103448276
6,0.0015853208313838,0.9985569985569984,0.7788327089665077,0.9989224137931034,0.8369098712446352,0.3165198037256861,0.5542168674698795,0.6182089515422848,0.7283950617283951,0.3680775537780726,0.3931034482758621
7,0.0019687623181229,0.9988306823067002,0.8297328480645672,0.9989224137931034,0.8583690987124464,0.3676262626262626,0.6024096385542169,0.7106075373619234,0.7530864197530864,0.4208440642876906,0.3931034482758621
8,0.000725453396532,1.0,0.8520565153571521,1.0,0.8798283261802575,0.3673787367088416,0.5421686746987951,0.7278252611585945,0.7654320987654321,0.3723012623012623,0.4068965517241379
9,0.0009115977073038,0.8938124917661916,0.7574745055049535,0.990301724137931,0.8669527896995708,0.297370530703864,0.5060240963855421,0.6882763826778274,0.7530864197530864,0.2563934783473356,0.3172413793103448
10,0.0015695730519617,0.996108219266114,0.8302636252636253,0.9956896551724138,0.8497854077253219,0.2702220888355341,0.5180722891566265,0.7354938271604938,0.7654320987654321,0.4092029722757167,0.4344827586206896
