epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_ultra_f1,ood_ultra_f1_micro
0,,0.38469280213377316,0.33631409786386796,0.6088362068965517,0.5879828326180258,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.32214526191620335,0.3586206896551724
1,0.021183529441196728,0.8727817287057709,0.6494154088079976,0.9224137931034483,0.8412017167381974,0.23127680084007068,0.5180722891566265,0.6715723929654278,0.7407407407407407,0.39905318828859604,0.43448275862068964
2,0.008703142292657064,0.9275622742027535,0.724788087587031,0.9773706896551724,0.8583690987124464,0.2949585313577485,0.5542168674698795,0.6824680150767107,0.7283950617283951,0.3515849085316364,0.38620689655172413
3,0.003788416642833156,0.9959147014385789,0.8399265065324759,0.9946120689655172,0.8626609442060086,0.34552788170795457,0.5903614457831325,0.6951473489410402,0.7283950617283951,0.39415181897020296,0.4413793103448276
4,0.002142645663893902,0.9952630733833183,0.8131717382090136,0.9978448275862069,0.8412017167381974,0.37173860997390407,0.6024096385542169,0.7100560535797353,0.7654320987654321,0.41017018856849363,0.46206896551724136
5,0.002172366431703518,0.9976881859149469,0.840513114985592,0.9967672413793104,0.8669527896995708,0.2755213675213675,0.5301204819277109,0.7372778456111789,0.7530864197530864,0.407613577767736,0.4206896551724138
6,0.0012160122800008233,0.9973653153044044,0.8546794623675986,0.9978448275862069,0.8755364806866953,0.33545919240834493,0.5301204819277109,0.7155554024444863,0.7530864197530864,0.4162010982844316,0.4413793103448276
7,0.0008760493494954627,1.0,0.8041662841116055,1.0,0.8626609442060086,0.3216646246834926,0.5662650602409639,0.7246630638787502,0.7530864197530864,0.4181779476622062,0.4482758620689655
8,0.000579968206411336,1.0,0.8602189713599451,1.0,0.871244635193133,0.34347352815721294,0.5542168674698795,0.7246630638787502,0.7530864197530864,0.41762869895021393,0.45517241379310347
9,0.0004505084898482892,0.9988083167474056,0.8291056477253449,0.9989224137931034,0.871244635193133,0.3366562713399561,0.5542168674698795,0.7116296358548099,0.7530864197530864,0.4201049797851285,0.45517241379310347
10,0.0005697154617870371,1.0,0.853796436495706,1.0,0.871244635193133,0.2890615524826051,0.4939759036144578,0.733681278779318,0.7530864197530864,0.4140526247859044,0.45517241379310347
