metric,mean,std,n_seeds,seeds
in_train_f1,0.9984241267900975,0.0020487135987429755,3,"42,43,44"
in_test_f1,0.8469965815319024,0.014575602123579123,3,"42,43,44"
in_train_f1_micro,0.9982040229885056,0.002243174568390215,3,"42,43,44"
in_test_f1_micro,0.8669527896995707,0.0154744689934077,3,"42,43,44"
ood_ijh_f1,0.29318032034873015,0.025270620672396226,3,"42,43,44"
ood_ijh_f1_micro,0.5180722891566264,0.02409638554216867,3,"42,43,44"
ood_asian_f1,0.7398136834695516,0.009097178293652674,3,"42,43,44"
ood_asian_f1_micro,0.7695473251028807,0.018858336193233884,3,"42,43,44"
ood_ultra_f1,0.4049647985937308,0.011792645456044483,3,"42,43,44"
ood_ultra_f1_micro,0.432183908045977,0.02421989368471893,3,"42,43,44"
