population,value,rank,token,z_score,n_focal,n_comparison,focal_size,comparison_size
Asian,AC,1,clients,3.115548504766439,6,2,466,2152
Asian,AC,2,skills,3.0605373660229565,8,7,466,2152
Asian,AC,3,learning,2.892896383646284,7,6,466,2152
Asian,AC,4,completing,2.810780168011837,5,2,466,2152
Asian,AC,5,new,2.655098771781405,9,12,466,2152
Asian,AC,6,tasks,2.484725285599695,5,4,466,2152
Asian,AC,7,things,2.4670694446621564,4,2,466,2152
Asian,AC,8,meeting,2.2540997700538763,4,3,466,2152
Asian,AC,9,efficient,2.2540997700538763,4,3,466,2152
Asian,AC,10,promotions,2.1968119446767735,3,1,466,2152
Asian,AC,11,ensure,2.018411326340949,3,2,466,2152
Asian,AC,12,perform,2.010916850583215,3,2,466,2152
Asian,AC,13,company,1.7936913761728241,8,16,466,2152
Asian,AC,14,provide,1.7774737452976146,2,1,466,2152
Asian,AC,15,getting,1.77170587425406,3,3,466,2152
Asian,AC,16,customers,1.7544830921487422,3,3,466,2152
Asian,AC,17,sales,1.7544830921487422,3,3,466,2152
Asian,AC,18,having,1.750756507330885,2,1,466,2152
Asian,AC,19,value,1.7416797755515867,2,1,466,2152
Asian,AC,20,duties,1.7386333748132932,2,1,466,2152
Asian,BE,1,helping,4.568019145387248,10,5,153,1232
Asian,BE,2,others,4.302251209268812,9,5,153,1232
Asian,BE,3,care,2.8569352575785474,4,2,153,1232
Asian,BE,4,help,2.1101249017944714,6,13,153,1232
Asian,BE,5,learn,2.0665552902091813,2,1,153,1232
Asian,BE,6,providing,1.8812405597087178,3,0,153,1232
Asian,BE,7,want,1.3670754561403358,2,4,153,1232
Asian,BE,8,people,1.3060510317168164,3,8,153,1232
Asian,BE,9,best,1.2159930636426466,2,5,153,1232
Asian,BE,10,create,1.1165761852329856,2,5,153,1232
Asian,BE,11,patients,1.0982983431235125,3,0,153,1232
Asian,BE,12,dependable,1.0982983431235125,3,0,153,1232
Asian,BE,13,teach,0.9422562564025782,1,2,153,1232
Asian,BE,14,fairness,0.905631931472276,1,2,153,1232
Asian,BE,15,possible,0.9027146658631297,2,6,153,1232
Asian,BE,16,integrity,0.8906880493363633,1,2,153,1232
Asian,BE,17,someone,0.8831505515658942,1,2,153,1232
Asian,BE,18,progress,0.6706235115327878,1,3,153,1232
Asian,BE,19,attention,0.6008225567227689,1,3,153,1232
Asian,BE,20,needs,0.4158403000387857,1,4,153,1232
Asian,CO,1,good,0.5138822928731415,1,2,41,219
Asian,CO,2,work,0.38103089480521024,1,4,41,219
Asian,CO,3,colleagues,0.22596064162369156,1,2,41,219
Asian,CO,4,polite,0.20685824839955388,1,2,41,219
Asian,CO,5,respect,0.17769012621910146,5,12,41,219
Asian,CO,6,respectful,-0.3858811325160691,1,4,41,219
Asian,CO,7,disciplined,-0.6374399173046951,0,3,41,219
Asian,CO,8,seniors,-0.6783510809737002,0,3,41,219
Asian,CO,9,dignity,-0.6783510809737002,0,3,41,219
Asian,CO,10,self,-0.7833917312298381,0,3,41,219
Asian,CO,11,service,-0.8049263722924165,0,3,41,219
Asian,CO,12,parents,-1.0513083706940636,0,6,41,219
Asian,CO,13,discipline,-1.912150517166979,0,25,41,219
Asian,HE,1,balance,1.8668619584288944,7,4,57,159
Asian,HE,2,fun,1.8144049281371941,5,2,57,159
Asian,HE,3,time,1.0633638557497904,2,1,57,159
Asian,HE,4,work-life,1.0418201072088673,2,1,57,159
Asian,HE,5,life,0.6988213009275145,5,6,57,159
Asian,HE,6,work,0.6215294813903466,8,12,57,159
Asian,HE,7,good,0.13639585670097834,1,2,57,159
Asian,HE,8,world,-0.03497726955470557,1,2,57,159
Asian,HE,9,enjoy,-0.17907871834321945,4,8,57,159
Asian,HE,10,job,-0.7955265286040093,1,5,57,159
Asian,HE,11,pleasure,-0.9047226631595715,0,5,57,159
Asian,HE,12,home,-0.9074178770846124,0,3,57,159
Asian,HE,13,working,-1.0826838189842296,0,4,57,159
Asian,HE,14,satisfaction,-1.8069549732005692,0,13,57,159
Asian,PO,1,making,1.8428832075956467,4,0,87,338
Asian,PO,2,income,1.7851007582515537,3,1,87,338
Asian,PO,3,wealth,1.2875587653358722,5,6,87,338
Asian,PO,4,company,1.2488018599927948,3,3,87,338
Asian,PO,5,earning,0.9529421145598314,2,2,87,338
Asian,PO,6,higher,0.8976577710622657,3,4,87,338
Asian,PO,7,become,0.6506354852008897,2,3,87,338
Asian,PO,8,people,0.3616731714400866,1,2,87,338
Asian,PO,9,money,0.3492256159164418,12,28,87,338
Asian,PO,10,financial,0.27257933666382184,1,2,87,338
Asian,PO,11,raise,0.24983367748262025,1,2,87,338
Asian,PO,12,bonus,0.21201849073523757,1,2,87,338
Asian,PO,13,work,0.07485841361600543,0,3,87,338
