population,value,rank,token,z_score,n_focal,n_comparison,focal_size,comparison_size
Ultra,AC,1,professional,5.9650259726873465,16,10,294,2324
Ultra,AC,2,professionalism,4.70665154149018,11,9,294,2324
Ultra,AC,3,professionally,3.955702416136732,7,2,294,2324
Ultra,AC,4,promote,3.877084468285537,7,5,294,2324
Ultra,AC,5,material,3.4684248578123076,6,1,294,2324
Ultra,AC,6,advancement,3.1731611125435766,5,4,294,2324
Ultra,AC,7,advance,3.017773989585365,6,8,294,2324
Ultra,AC,8,students,2.7590184042575343,3,0,294,2324
Ultra,AC,9,possible,2.721485731032787,4,4,294,2324
Ultra,AC,10,training,2.3224968733703255,3,3,294,2324
Ultra,AC,11,education,2.2507861914351075,2,1,294,2324
Ultra,AC,12,level,2.2431637141679857,5,10,294,2324
Ultra,AC,13,way,2.1515872539909213,3,4,294,2324
Ultra,AC,14,teaching,2.143231390174265,6,0,294,2324
Ultra,AC,15,fulfill,2.138663483880768,2,1,294,2324
Ultra,AC,16,succeed,2.129617413902366,2,1,294,2324
Ultra,AC,17,excellence,2.1113075072387253,2,1,294,2324
Ultra,AC,18,excellent,2.1113075072387253,2,1,294,2324
Ultra,AC,19,competence,2.1113075072387253,2,1,294,2324
Ultra,AC,20,specialize,2.1113075072387253,2,1,294,2324
