source,seed,epoch,asian,indian,ijh,ultra
asian,42,10,0.7588637252977565,0.6051123321078902,0.2764266393805357,0.4571657130937481
asian,43,10,0.8226028628234512,0.7220552192630096,0.3041144527986633,0.4386893146037486
asian,44,10,0.8426314426314427,0.677635957063833,0.2926674148896371,0.4155691442556234
indian,42,10,0.7354938271604938,0.8302636252636253,0.2702220888355341,0.4092029722757167
indian,43,10,0.733681278779318,0.853796436495706,0.2890615524826051,0.4140526247859044
indian,44,10,0.7502659444688429,0.8569296828363757,0.3202573197280511,0.3916387987195713
ijh,42,10,0.4501587301587301,0.2993283032756716,0.4686105720588479,0.1738831523667589
ijh,43,10,0.4032524120759415,0.3317574225705364,0.4517713365539452,0.1906978228423693
ijh,44,10,0.3967871485943775,0.2852479479259638,0.3557682332192136,0.1683297143864154
ultra,42,10,0.481359575409111,0.4584364542395914,0.274516290726817,0.5513783939002963
ultra,44,10,0.4944150499706055,0.4777014036388779,0.2402663209966402,0.6323514998514999
ultra,45,10,0.3880339341123655,0.4194893090107034,0.2398787878787878,0.6067329993824196
ultra,46,10,0.48501221001221,0.4158358791994828,0.2628405797101449,0.577903987903988
combined,42,10,0.8005466353292441,0.8222909794607907,0.3597684036393714,0.5927597402597402
combined,43,10,0.7870560811737284,0.8717682922533954,0.5338523758063987,0.5482567686256539
combined,44,10,0.820146447597428,0.7992066219710569,0.3958435314685314,0.5807305701984601
