epoch,train_loss,in_train_f1,in_test_f1,in_train_f1_micro,in_test_f1_micro,ood_ijh_f1,ood_ijh_f1_micro,ood_asian_f1,ood_asian_f1_micro,ood_indian_f1,ood_indian_f1_micro
0,,0.2976500032025934,0.32214526191620335,0.4114583333333333,0.3586206896551724,0.1904865649963689,0.43373493975903615,0.39562320562320563,0.6296296296296297,0.33631409786386796,0.5879828326180258
1,0.0288654400954126,0.6803251556873975,0.5071320930276542,0.8229166666666666,0.6689655172413793,0.2577722447003492,0.5180722891566265,0.4098970128820874,0.5925925925925926,0.4070345898753934,0.6266094420600858
2,0.0153686238021085,0.8447896544162574,0.5285551163812034,0.9427083333333334,0.6413793103448275,0.3116468913146654,0.5542168674698795,0.4190678716994506,0.5432098765432098,0.5004982267334924,0.6609442060085837
3,0.0089468660120878,0.912208804627782,0.590018691319001,0.9739583333333334,0.6896551724137931,0.2655580750818846,0.4698795180722891,0.4181144807412556,0.5555555555555556,0.4559416079619815,0.648068669527897
4,0.0055333561103907,0.9657540546558452,0.7224422424422425,0.9895833333333334,0.7241379310344828,0.2328022242488726,0.4819277108433735,0.4585002330465125,0.5432098765432098,0.4542269703395023,0.6695278969957081
5,0.0035726485002669,0.9941379961690372,0.6852955366113261,0.9930555555555556,0.7103448275862069,0.231979408446957,0.4819277108433735,0.4181334642118955,0.5679012345679012,0.4929915032978634,0.6652360515021459
6,0.0023073252810314,0.9992061952966426,0.6779515393960305,0.9982638888888888,0.7034482758620689,0.2686411736411736,0.5060240963855421,0.4993319437763881,0.5925925925925926,0.4865789451651213,0.6781115879828327
7,0.0015410003430184,0.9992061952966426,0.6673558399761477,0.9982638888888888,0.7034482758620689,0.2489157772052509,0.5421686746987951,0.4514696133841386,0.6049382716049383,0.4807710542454576,0.6824034334763949
8,0.0036216893210318,0.9927993611446764,0.6500881574565786,0.9878472222222222,0.6758620689655173,0.2208080808080808,0.4337349397590361,0.4157322976471913,0.4567901234567901,0.4309231582208303,0.5708154506437768
9,0.0022959010287498,0.9951289686491146,0.6988472473838327,0.9947916666666666,0.7103448275862069,0.1988908765652951,0.4216867469879518,0.455043163464216,0.5308641975308642,0.4702221163041322,0.6137339055793991
10,0.0020645807081665,0.9950017990568868,0.6193471226258112,0.9947916666666666,0.7103448275862069,0.2886284440197483,0.4939759036144578,0.4541937557826336,0.5432098765432098,0.4415743569677576,0.6051502145922747
