metric,mean,std,n_seeds,seeds
in_train_f1,0.9985999834548887,0.0016304873730638913,4,"42,44,45,46"
in_test_f1,0.5920917202595509,0.03509075661659028,4,"42,44,45,46"
in_train_f1_micro,0.9982638888888888,0.0020046884346861934,4,"42,44,45,46"
in_test_f1_micro,0.689655172413793,0.025804533701889253,4,"42,44,45,46"
ood_ijh_f1,0.25437549482809746,0.01719042970254658,4,"42,44,45,46"
ood_ijh_f1_micro,0.4819277108433735,0.034077435237905934,4,"42,44,45,46"
ood_asian_f1,0.462205192376073,0.049752389964412974,4,"42,44,45,46"
ood_asian_f1_micro,0.5679012345679012,0.04156174871753939,4,"42,44,45,46"
ood_indian_f1,0.4428657615221639,0.030183005724981983,4,"42,44,45,46"
ood_indian_f1_micro,0.6169527896995708,0.04047022935569563,4,"42,44,45,46"
